,job_title,job_metadata,hiring_team_name,hiring_team_link,description,company_metadata,link,description_summary
0,Investment Engineer,"Bridgewater Associates · Westport, CT (On-site)  2 weeks ago  · 108 applicants",Jason Koulouras,https://www.linkedin.com/in/jasonkoulouras,"About the job About Bridgewater  Bridgewater Associates is a premier asset management firm, focused on delivering unique insight and partnership for the most sophisticated global institutional investors.  Our investment process is driven by a tireless pursuit to understand how the world's markets and economies work — using cutting edge technology to validate and execute on timeless and universal investment principles.  Founded in 1975, we are a community of independent thinkers who share a commitment for excellence. By fostering a culture of openness, transparency, and inclusion, we strive to unlock the most complex questions in investment strategy, management, and corporate culture.  Explore more information about Bridgewater on our website here.   Bridgewater's unique success is the direct result of our unique way of being. We want an idea meritocracy in which meaningful work and meaningful relationships are pursued through radical truth and radical transparency. We require people to be extremely open, air disagreements, test each other's logic, and view discovering mistakes and weaknesses as a good thing that leads to improvement and innovation. It is by continually striving together for the highest levels of truth and excellence that we create meaningful work and meaningful relationships. Within this culture, Diversity and Inclusion is a top priority because it is essential to finding the best talent in the world, enabling our idea meritocracy, and creating an environment where all types of people can thrive. We have a full-time team as well as affinity networks that work on these issues - If you would like to learn more, please let your Bridgewater recruiter know.  Explore more information about Bridgewater's culture on our website here.   As an Investment Engineer, your mission is to understand how the world's markets and economies work and codify this understanding. You will spend your time designing and building the algorithms which are used to generate Bridgewater's views on markets, translate those views into portfolios, and trade those portfolios. Every piece of investment logic is owned by an Engineer who:   We also shape how Bridgewater does investment research: we deeply understand how exploration is done and evolve the methods and tools to more rapidly develop breakthrough insights.   We are an Engineering owned and led organization which strives to balance fierce independence with incredible community support in an environment that is intellectually vibrant and driven to make a mark on the world as a collaborative force.  Our core values:       Interested in learning more about working at Bridgewater? Hear about the experiences of our employees here.   For most of our roles, Bridgewater offers remote work flexibility, with most employees required to work on campus as their principal work location, a minimum of two days (and in some cases three days) per week with the option to work offsite on other days.   It takes all types to make Bridgewater great. We seek a diverse group of innovative thinkers and push them to engage in rigorous and thoughtful inquiry. We develop people through an honest examination of their abilities and performance, enabling personal growth and professional development. We strive to provide you opportunities that will challenge you and unlock your potential.  Compensation Band:   One of our core priorities at Bridgewater is to enable our employees to build a great life and career, and we believe our benefits are an important extension of that philosophy. As such, currently Bridgewater offers a competitive suite of benefits including:   Bridgewater reserves the right to change its current benefits program at any time, in a manner that is consistent with applicable federal and state regulations  This job description is not a contract and confers no contractual rights, privileges, or benefits on any applicant or potential applicant. Bridgewater has the right to change any and all terms of this job description, including, but not limited to, job responsibilities, qualifications and benefits. Nothing in this job description constitutes an offer or guarantee of employment.  Bridgewater Associates, LP is an Equal Opportunity Employer",,https://www.linkedin.com/jobs/view/3659222868/?eBP=JOB_SEARCH_ORGANIC&refId=TkoYSTBE1EiuayhpB9mi7Q%3D%3D&trackingId=xaMcBVVrGcM%2B3lARTbTGVA%3D%3D&trk=flagship3_search_srp_jobs," Investment Engineer's mission is to understand how the world's markets and economies work and codify this understanding . You will spend your time designing and building the algorithms which are used to generate Bridgewater's views on markets, translate those views into portfolios, and trade those portfolios . Bridgewater reserves the right to change its current benefits program at any time in accordance with applicable federal and state regulations ."
1,Investment Associate Intern - Summer 2024,"Bridgewater Associates · Westport, CT (On-site)  3 weeks ago  · 425 applicants",Jason Koulouras,https://www.linkedin.com/in/jasonkoulouras,"About the job Seeking deeply curious students from all backgrounds to be the next generation of Bridgewater's investment leaders.  What does Bridgewater do?  Bridgewater Associates is a premier asset management firm, focused on delivering unique insight and partnership for the most sophisticated global institutional investors.  Our investment process is driven by a tireless pursuit to understand how the world's markets and economies work — using cutting edge technology to validate and execute on timeless and universal investment principles.  Founded in 1975, we are a community of independent thinkers who share a commitment for excellence. By fostering a culture of openness, transparency, and inclusion, we strive to unlock the most complex questions in investment strategy, management, and corporate culture.  What is the opportunity for summer interns?  As an Investment Associate summer intern, you will spend your time building experience working on challenging investment questions in a highly dynamic environment, while also participating in a summer-long class where you will receive a world-class education in macroeconomics, and learn about Bridgewater's unique approach to thinking about markets. Throughout the summer, you will be engaging in a highly intellectual and academic environment, while also rapidly developing and learning as a result of our culture. Interns will be invited into the broader Bridgewater community through our Affinity Networks, Bridgewater's Distinguished Speaker series, all while working alongside and having fun with fellow interns and Investment Associates.  In a nutshell, we are looking for people who:   Who are our Investment Associates?  Investment Associates are on a mission to understand the fundamental drivers of markets and turn that understanding into quantitative trading strategies and qualitative investment advice for our clients. There are no typical paths at Bridgewater. We operate as a meritocracy, where you will be assessed on the quality of your ideas and given as much responsibility as you can handle. Some Investment Associates develop into specialized subject matter experts, while others excel as generalists. Many rotate between roles over the course of their careers. Investment Associates work across four investment areas:   Click here to learn more about Bridgewater's fundamental approach to investing.  Compensation Band:   Deadline   We want to give you this space to answer some questions that we tend to have most about applicants, but these items truly are optional! If you feel you address them in your resume or other areas of your application, we encourage you to skip them.  This job description is not a contract and confers no contractual rights, privileges, or benefits on any applicant or potential applicant. Bridgewater has the right to change any and all terms of this job description, including, but not limited to, job responsibilities, qualifications and benefits. Nothing in this job description constitutes an offer or guarantee of employment.  Bridgewater Associates, LP is an Equal Opportunity Employer.","['$41,000/yr (from job description) · Internship · Internship', '1,001-5,000 employees · Investment Management', '28 school alumni work here', 'See how you compare to 425 applicants. Try Premium for free', 'Skills: Communication, Economics, +5 more']",https://www.linkedin.com/jobs/view/3655151423/?eBP=JOB_SEARCH_ORGANIC&refId=TkoYSTBE1EiuayhpB9mi7Q%3D%3D&trackingId=JGfcBeRlWqBy184zE0xQAA%3D%3D&trk=flagship3_search_srp_jobs," Investment Associates are on a mission to understand the fundamental drivers of markets and turn that understanding into quantitative trading strategies and qualitative investment advice for our clients . Interns will be invited into the broader Bridgewater community through our Affinity Networks, Bridgewater's Distinguished Speaker series, all while working alongside and having fun with fellow interns ."
2,Support Engineer,"Bridgewater Associates · Singapore, Singapore (On-site)  2 months ago",,,"About the job About Bridgewater  Bridgewater Associates is a premier asset management firm, focused on delivering unique insight and partnership for the most sophisticated global institutional investors.  Our investment process is driven by a tireless pursuit to understand how the world's markets and economies work — using cutting edge technology to validate and execute on timeless and universal investment principles.  Founded in 1975, we are a community of independent thinkers who share a commitment for excellence. By fostering a culture of openness, transparency, and inclusion, we strive to unlock the most complex questions in investment strategy, management, and corporate culture.   Bridgewater's unique success is the direct result of our unique way of being. We want an idea meritocracy in which meaningful work and meaningful relationships are pursued through radical truth and radical transparency. We require people to be extremely open, air disagreements, test each other's logic, and view discovering mistakes and weaknesses as a good thing that leads to improvement and innovation. It is by continually striving together for the highest levels of truth and excellence that we create meaningful work and meaningful relationships. Within this culture, Diversity and Inclusion is a top priority because it is essential to finding the best talent in the world, enabling our idea meritocracy, and creating an environment where all types of people can thrive. We have a full-time team as well as affinity networks that work on these issues - If you would like to learn more, please let your Bridgewater recruiter know.   The Technology team at Bridgewater engineers systems to understand the world. These systems synthesize and industrialize our global understanding into a hive mind of macroeconomic knowledge which enables us to educate and collaborate with the world's most influential central banks and policy makers and carefully and strategically manage the world's most important capital. Our technologists are engineering highly available, high performing and highly secure cloud platforms and infrastructure which support and scale our investing operations.   As part of our ongoing partnership in the Asia Pacific region, we are opening a Bridgewater office in Singapore in Q1 2022, Bridgewater Associates (Singapore) Management, PTE Ltd. The initial focus of that office will be to deepen our ability to partner with our clients and prospective clients in the region. In line with Bridgewater's overall mission to grow and diversify our business, our strategic goal is to capitalize on growing commercial opportunities in Asia and further deepen our ability to partner with existing institutional clients and drive new market development with prospective advisory and distribution relationships in the region.  This is an exciting new entrepreneurial effort at Bridgewater. The initial size of the Singapore team will be between approximately ten and fifteen people, and, as with any new initiative, will involve strong cross-functional collaboration from teams around the firm.   As a Support Engineer, your role will consist of owning issues from inception to root cause, interacting with users across the firm, and escalating to the Senior Support Engineering team as appropriate. Being able to diagnose and solve issues on Endpoint and Collaboration tools will be vital as we continue to roll out and support new products to the business. As we improve our infrastructure architecture and strive for more automation, there will be a mix of legacy and new technology that requires maintenance, decommissioning, integrating and supporting as necessary.             It takes all types to make Bridgewater great. We seek a diverse group of innovative thinkers and push them to engage in rigorous and thoughtful inquiry. We develop people through an honest examination of their abilities and performance, enabling personal growth and professional development. We strive to provide you opportunities that will challenge you and unlock your potential.   The wage range for this role is, $80,000 - $150,000 (U.S. equivalent), inclusive of base salary and discretionary bonus. The expected base salary for this role is between 80% - 90% of this wage range.    Bridgewater reserves the right to change its current benefits program at any time, in a manner that is consistent with applicable federal and state regulations  This job description is not a contract and confers no contractual rights, privileges, or benefits on any applicant or potential applicant. Bridgewater has the right to change any and all terms of this job description, including, but not limited to, job responsibilities, qualifications and benefits. Nothing in this job description constitutes an offer or guarantee of employment.","['Full-time · Entry level', '1,001-5,000 employees · Investment Management', 'See how you compare to 26 applicants. Try Premium for free']",https://www.linkedin.com/jobs/view/3641773495/?eBP=JOB_SEARCH_ORGANIC&refId=TkoYSTBE1EiuayhpB9mi7Q%3D%3D&trackingId=8m0WvsZ6nv%2BQbik55VzF%2BA%3D%3D&trk=flagship3_search_srp_jobs," As a Support Engineer, your role will consist of owning issues from inception to root cause, interacting with users across the firm, and escalating to the Senior Support Engineering team as appropriate . The wage range for this role is, $80,000 - $150,000 (U.S. equivalent), inclusive of base salary and bonus ."
3,"Business Analyst, Workday Technology","Bridgewater Associates · Westport, CT (Remote)  3 weeks ago  · 123 applicants",Jason Koulouras,https://www.linkedin.com/in/jasonkoulouras,"About the job About Bridgewater  Bridgewater Associates is a premier asset management firm, focused on delivering unique insight and partnership for the most sophisticated global institutional investors.  Our investment process is driven by a tireless pursuit to understand how the world's markets and economies work — using cutting edge technology to validate and execute on timeless and universal investment principles.  Founded in 1975, we are a community of independent thinkers who share a commitment for excellence. By fostering a culture of openness, transparency, and inclusion, we strive to unlock the most complex questions in investment strategy, management, and corporate culture.   Bridgewater's unique success is the direct result of our unique way of being. We want an idea meritocracy in which meaningful work and meaningful relationships are pursued through radical truth and radical transparency. We require people to be extremely open, air disagreements, test each other's logic, and view discovering mistakes and weaknesses as a good thing that leads to improvement and innovation. It is by continually striving together for the highest levels of truth and excellence that we create meaningful work and meaningful relationships. Within this culture, Diversity and Inclusion is a top priority because it is essential to finding the best talent in the world, enabling our idea meritocracy, and creating an environment where all types of people can thrive. We have a full-time team as well as affinity networks that work on these issues - If you would like to learn more, please let your Bridgewater recruiter know.   The Technology team at Bridgewater engineers systems to understand the world. These systems synthesize and industrialize our global understanding into a hive mind of macroeconomic knowledge which enables us to educate and collaborate with the world's most influential central banks and policy makers and carefully and strategically manage the world's most important capital. Our technologists are engineering highly available, high performing and highly secure cloud platforms and infrastructure which support and scale our investing operations.   We are searching for a driven and analytical problem solver for the position of Workday Business Analyst. This individual will primarily focus on supporting the Finance Modules. This position is part of Bridgewater's fast-paced Workday technical team that is responsible for implementing new Workday modules, delivering enhancements, bi-annual upgrades, and day-to-day support for the entire Bridgewater population. The incoming Business Analyst will be responsible for partnering with business users to create solutions that will achieve department goals by analyzing financial technology and process needs. This individual will be responsible for requirements gathering, delivering functional business analysis for technology and process transformation projects, and implementation of solutions within Workday. The ideal candidate would possess the ability to dynamically shift between technical and business project needs and should be equally knowledgeable within each of these realms. A member of this team must be hard working, confident, with excellent ability to multitask, deal with ambiguity, prioritize, and be goal-oriented.  The preferred candidate would possess Workday Finance experience implementing the modules while adhering to the Workday methodology. Workday security expertise is also a plus.        For most of our roles, Bridgewater offers remote work flexibility, with most employees required to work on campus as their principal work location, minimum of two days (and in some cases three days) per week with the option to work offsite on other days. This role offers the option for full remote flexibility as well.   It takes all types to make Bridgewater great. We seek a diverse group of innovative thinkers and push them to engage in rigorous and thoughtful inquiry. We develop people through an honest examination of their abilities and performance, enabling personal growth and professional development. We strive to provide you opportunities that will challenge you and unlock your potential.      Bridgewater reserves the right to change its current benefits program at any time, in a manner that is consistent with applicable federal and state regulations  This job description is not a contract and confers no contractual rights, privileges, or benefits on any applicant or potential applicant. Bridgewater has the right to change any and all terms of this job description, including, but not limited to, job responsibilities, qualifications and benefits. Nothing in this job description constitutes an offer or guarantee of employment. Please note that we do provide immigration sponsorship for this position.","['$150,000/yr - $225,000/yr (from job description) · Full-time · Mid-Senior level', '1,001-5,000 employees · Investment Management', '28 school alumni work here', 'See how you compare to 123 applicants. Try Premium for free', 'Skills: Analytical Skills, Process Transformation, +8 more']",https://www.linkedin.com/jobs/view/3656750052/?eBP=JOB_SEARCH_ORGANIC&refId=TkoYSTBE1EiuayhpB9mi7Q%3D%3D&trackingId=nU7rq9h6UJqkHNGWrT0tPg%3D%3D&trk=flagship3_search_srp_jobs, The incoming Business Analyst will be responsible for partnering with business users to create solutions that will achieve department goals by analyzing financial technology and process needs . This individual will primarily focus on supporting the Finance Modules . The ideal candidate would possess the ability to dynamically shift between technical and business project needs and should be equally knowledgeable within each of these realms .
4,"Technical Project Manager, Investment Technology","Bridgewater Associates · Westport, CT (On-site)  1 month ago",,,"About the job About Bridgewater  Bridgewater Associates is a premier asset management firm, focused on delivering unique insight and partnership for the most sophisticated global institutional investors.  Our investment process is driven by a tireless pursuit to understand how the world's markets and economies work — using cutting edge technology to validate and execute on timeless and universal investment principles.  Founded in 1975, we are a community of independent thinkers who share a commitment for excellence. By fostering a culture of openness, transparency, and inclusion, we strive to unlock the most complex questions in investment strategy, management, and corporate culture.   Bridgewater's unique success is the direct result of our unique way of being. We want an idea meritocracy in which meaningful work and meaningful relationships are pursued through radical truth and radical transparency. We require people to be extremely open, air disagreements, test each other's logic, and view discovering mistakes and weaknesses as a good thing that leads to improvement and innovation. It is by continually striving together for the highest levels of truth and excellence that we create meaningful work and meaningful relationships. Within this culture, Diversity and Inclusion is a top priority because it is essential to finding the best talent in the world, enabling our idea meritocracy, and creating an environment where all types of people can thrive. We have a full-time team as well as affinity networks that work on these issues - If you would like to learn more, please let your Bridgewater recruiter know.   The Technology team at Bridgewater engineers systems to understand the world. These systems synthesize and industrialize our global understanding into a hive mind of macroeconomic knowledge which enables us to educate and collaborate with the world's most influential central banks and policy makers and carefully and strategically manage the world's most important capital. Our technologists are engineering highly available, high performing and highly secure cloud platforms and infrastructure which support and scale our investing operations.   The goal of Bridgewater's Account Management team is to translate Bridgewater's understanding of how the global economy works into strategy specific portfolios. Embedded within Account Management is a uniquely talented technology team that builds and manages the tools that allow our portfolio strategists, investors, and operations teams to create and test new portfolio strategies and logic, construct portfolios and manifest our desired portfolios to securities we can trade in the markets. As the Technical Project Manager you will focus on driving complex software projects within this space to success. Your mission will be to ship high-quality software. This will involve shaping and improving processes and teamwork, identifying and resolving dependencies and removing obstacles that obstruct progress.           For most of our roles, Bridgewater offers remote work flexibility, with most employees required to work on campus as their principal work location, a minimum of two days (and in some cases three days) per week with the option to work offsite on other days.   The compensation band for this role is $150,000 – $250,000 per year, inclusive of base salary and discretionary bonus. The expected base salary for this role is between 70% - 80% of this wage range.    Bridgewater reserves the right to change its current benefits program at any time, in a manner that is consistent with applicable federal and state regulations  This job description is not a contract and confers no contractual rights, privileges, or benefits on any applicant or potential applicant. Bridgewater has the right to change any and all terms of this job description, including, but not limited to, job responsibilities, qualifications and benefits. Nothing in this job description constitutes an offer or guarantee of employment. Please note that we do not provide immigration sponsorship for this position.  Bridgewater Associates, LP is an Equal Opportunity Employer.","['$150,000/yr - $250,000/yr (from job description) · Full-time · Mid-Senior level', '1,001-5,000 employees · Investment Management', 'See how you compare to 64 applicants. Try Premium for free']",https://www.linkedin.com/jobs/view/3641773918/?eBP=JOB_SEARCH_ORGANIC&refId=TkoYSTBE1EiuayhpB9mi7Q%3D%3D&trackingId=A%2B6079X1TbFFHC6S2pNipQ%3D%3D&trk=flagship3_search_srp_jobs," The Technical Project Manager will focus on driving complex software projects within this space to success . The compensation band for this role is $150,000 – $250,000 per year, inclusive of base salary and discretionary bonus . The Technology team at Bridgewater engineers systems to understand the world ."
5,Client Service and Marketing Associate,"Bridgewater Associates · Westport, CT (On-site)  3 weeks ago",,,"About the job About Bridgewater  Bridgewater Associates is a premier asset management firm, focused on delivering unique insight and partnership for the most sophisticated global institutional investors.  Our investment process is driven by a tireless pursuit to understand how the world's markets and economies work — using cutting edge technology to validate and execute on timeless and universal investment principles.  Founded in 1975, we are a community of independent thinkers who share a commitment for excellence. By fostering a culture of openness, transparency, and inclusion, we strive to unlock the most complex questions in investment strategy, management, and corporate culture.  Explore more information about Bridgewater on our website here.   Bridgewater's unique success is the direct result of our unique way of being. We want an idea meritocracy in which meaningful work and meaningful relationships are pursued through radical truth and radical transparency. We require people to be extremely open, air disagreements, test each other's logic, and view discovering mistakes and weaknesses as a good thing that leads to improvement and innovation. It is by continually striving together for the highest levels of truth and excellence that we create meaningful work and meaningful relationships. Within this culture, Diversity and Inclusion is a top priority because it is essential to finding the best talent in the world, enabling our idea meritocracy, and creating an environment where all types of people can thrive. We have a full-time team as well as affinity networks that work on these issues - If you would like to learn more, please let your Bridgewater recruiter know.  Explore more information about Bridgewater's culture on our website here.   The goal of Client Service is to build and grow meaningful relationships with the world's largest, most sophisticated investors and help clients achieve their goals through high quality return streams and tailored insights.  To this end, we deeply understand the global pools of capital, develop strategies to effectively develop relationships, and partner with clients on their most difficult investment and portfolio construction problems.  We help our clients broaden their understanding of our investment process, strategies, and performance as well as deepen their understanding of financial markets more generally.   The Client Service Associate (CSA) is a member of a client advisory team, along with a Client Advisor and a Client Service Coordinator. CSAs play a critical role in partnering with and supporting their team members in pursuit of the team's collective goal – to become an indispensable resource to clients by offering unique perspectives on markets and investing. Together, this team will have the overall responsibility for managing the client relationships in their book of business.  The CSA has internal and external responsibilities. Internally, CSAs are responsible (with oversight from the Client Advisor) for managing a regional client book, fulfilling client requests, and executing business plans. Externally, they are responsible for providing high value leverage to the Client Advisor by handling questions and other communications with clients in a way that reinforces BW's brand and generates advocacy by developing relationships with second level client contacts (particularly when the Client Advisor is away from the office). S/He will have the opportunity to contribute to client strategy and planning at multiple levels. Additionally, this individual will join a team of CSAs that is responsible for process improvement initiatives, team projects, and cross team training.  Interested in learning more about working at Bridgewater? Hear about the experiences of our employees here.         For most of our roles, Bridgewater offers remote work flexibility, with most employees required to work on campus as their principal work location, a minimum of two days (and in some cases three days) per week with the option to work offsite on other days.   The wage range for this role is $220,000- $425,000 inclusive of base salary and discretionary bonus. The expected base salary for this role is between 60-80% of this wage range.   It takes all types to make Bridgewater great. We seek a diverse group of innovative thinkers and push them to engage in rigorous and thoughtful inquiry. We develop people through an honest examination of their abilities and performance, enabling personal growth and professional development. We strive to provide you opportunities that will challenge you and unlock your potential.  One of our core priorities at Bridgewater is to enable our employees to build a great life and career, and we believe our benefits are an important extension of that philosophy. As such, currently Bridgewater offers a competitive suite of benefits including:   Bridgewater reserves the right to change its current benefits program at any time, in a manner that is consistent with applicable federal and state regulations  This job description is not a contract and confers no contractual rights, privileges, or benefits on any applicant or potential applicant. Bridgewater has the right to change any and all terms of this job description, including, but not limited to, job responsibilities, qualifications and benefits. Nothing in this job description constitutes an offer or guarantee of employment. Please note that we do not provide immigration sponsorship for this position.","['$220,000/yr - $425,000/yr (from job description) · Full-time · Entry level', '1,001-5,000 employees · Investment Management', 'See how you compare to 28 applicants. Try Premium for free']",https://www.linkedin.com/jobs/view/3657165739/?eBP=JOB_SEARCH_ORGANIC&refId=TkoYSTBE1EiuayhpB9mi7Q%3D%3D&trackingId=%2FLBH0n5hagKvrMh5eJ4mqQ%3D%3D&trk=flagship3_search_srp_jobs," The Client Service Associate (CSA) is a member of a client advisory team, along with a Client Advisor and a Client Service Coordinator . The CSA has internal and external responsibilities . The wage range for this role is $220,000- $425,000 inclusive of base salary and bonus ."
6,"Intern, Software Engineer (Quality Assurance) - Fall Internship","Balyasny Asset Management L.P. · New York, United States (Hybrid)  1 month ago",,,"About the job Are you an intelligent and motivated individual? Are you passionate about technology and creating innovative solutions for multifaceted problems? We are seeking excited and driven students to be a part of BAM’s 2023 Quality Assurance team.  As a Software Engineer Intern at BAM, you will be:  · Designing and implementing your ideas ","['Internship · Internship', '1,001-5,000 employees · Investment Management', 'View verifications related to this job post.\nView verifications related to this job post.\nShow all', 'See how you compare to 826 applicants. Try Premium for free']",https://www.linkedin.com/jobs/view/3638816866/?eBP=JOB_SEARCH_ORGANIC&refId=nIjWruL2XlTPttxru8H0Fw%3D%3D&trackingId=vusqhBFLHrXotCY0bvYIjg%3D%3D&trk=flagship3_search_srp_jobs," Are you an intelligent and motivated individual? Are you passionate about technology and creating innovative solutions for multifaceted problems? We are seeking excited and driven students to be a part of BAM’s 2023 Quality Assurance team . As a Software Engineer Intern at BAM, you will be: · Designing and implementing your ideas ."
7,"Intern, Software Engineer (Fall Internship)","Balyasny Asset Management L.P. · Toronto, ON (Hybrid)  1 month ago",,,"About the job Description:  Join us for a unique 4-month development track that provides personal and professional development in a creative collaborative team setting. As a software engineer apprenticeship, you will solve complex business problems while utilizing the latest technologies. You will have the opportunity to learn about our different business areas, platforms, and teams. ","['Internship · Internship', '1,001-5,000 employees · Investment Management', 'View verifications related to this job post.\nView verifications related to this job post.\nShow all', 'See how you compare to 1,267 applicants. Try Premium for free']",https://www.linkedin.com/jobs/view/3638820061/?eBP=JOB_SEARCH_ORGANIC&refId=nIjWruL2XlTPttxru8H0Fw%3D%3D&trackingId=%2F9y%2BSYtWBipt1Q%2BOTVVrag%3D%3D&trk=flagship3_search_srp_jobs," 4-month development track that provides personal and professional development in a creative collaborative team setting . As a software engineer apprenticeship, you will solve complex business problems while utilizing the latest technologies . You will have the opportunity to learn about our different business areas, platforms, and teams ."
8,Quant Researcher / Trader,"Balyasny Asset Management L.P. · London, England, United Kingdom (On-site) Reposted  3 weeks ago  · 211 applicants",,,"About the job ROLE OVERVIEW Responsibilities include, but are not limited to: • Researcher working directly alongside a Systematic Portfolio Manager focusing on Quantitative Event-Driven trading • Design and implement statistical arbitrage trading strategies, from idea generation, strategy back-testing and analysis, portfolio construction to trading execution","['Full-time · Associate', '1,001-5,000 employees · Investment Management', '24 school alumni work here', 'See how you compare to 211 applicants. Try Premium for free', '6 of 10 skills match your profile - you may be a good fit', 'View verifications related to this job post.\nView verifications related to this job post.\nShow all']",https://www.linkedin.com/jobs/view/3627113105/?eBP=JOB_SEARCH_ORGANIC&refId=nIjWruL2XlTPttxru8H0Fw%3D%3D&trackingId=6IOTSBaPUje6EuhXP0N0zQ%3D%3D&trk=flagship3_search_srp_jobs," Researcher working directly alongside a Systematic Portfolio Manager focusing on Quantitative Event-Driven trading . Design and implement statistical arbitrage trading strategies, from idea generation, strategy back-testing and analysis, portfolio construction to trading execution. Responsibilities include, but are not limited to: Researcher ."
9,Data Support Analyst,"Balyasny Asset Management L.P. · San Francisco, CA (Hybrid) Reposted  2 weeks ago",,,"About the job ROLE OVERVIEW  Working within a global team of data analysts, data scientists, and content experts within each of BAM’s key geographic locations the Data Support Analyst will serve as a steward for all of BAM’s internal and external data content and will be responsible for the following:   Partnering with PMs/traders/analysts to understand how data is used in their processes. Serving as an in-house expert on data and providing consulting around best solutions for each use case.","['Full-time · Associate', '1,001-5,000 employees · Investment Management', 'View verifications related to this job post.\nView verifications related to this job post.\nShow all', 'See how you compare to 381 applicants. Try Premium for free']",https://www.linkedin.com/jobs/view/3630330635/?eBP=JOB_SEARCH_ORGANIC&refId=nIjWruL2XlTPttxru8H0Fw%3D%3D&trackingId=kGZm5bbFN0YwMnaJBpmF%2Fg%3D%3D&trk=flagship3_search_srp_jobs, Data Support Analyst will serve as a steward for all of BAM’s internal and external data content . Partnering with PMs/traders/analysts to understand how data is used in their processes . Serving as an in-house expert on data and providing consulting around best solutions for each use case .
